0dcb77795c,SOR_005
0ca1902a46,SOR_010
e2c6231b35,SOR_001
8301e8d7ef,SOR_003
59cd013a2d,SOR_007
87e8807695,SOR_009
6827598372,SOR_011
51e8757e4c,SOR_014
0e65f012f5,SOR_015
5e90bd91b0,SOR_017
02199f9f1e,SOR_016
b0dbca5c05,SOR_002
d1a7b76ae7,SOR_004
6c5b96c7ef,SOR_006
80df3928eb,SOR_008
fb475d4ea4,SOR_012
3c60596a7a,SOR_013
20f21b4948,SOR_018
4484318969,SHD_007
4088c46c4d,SHD_018
f928681d36,SHD_006
c9ff9863d7,SHD_009
a579b400c0,SHD_012
3feee05e13,SHD_001
4aa0804b2b,SHD_002
8903067778,SHD_003
e091d2a983,SHD_004
415bde775d,SHD_005
919facb76d,SHD_008
d2bbda6982,SHD_010
8def61a58e,SHD_011
a742dea1f1,SHD_013
724979d608,SHD_014
58f9f2d4a0,SHD_015
2b13cefced,SHD_016
040a3e81f3,SHD_017
7224a2074a,TWI_011
fb7af4616c,TWI_015
f05184bd91,TWI_001
b7caecf9a3,TWI_002
0ee1e18cf4,TWI_003
e71f6f766c,TWI_004
6fa73a45ed,TWI_005
12122bc0b1,TWI_006
47557288d6,TWI_007
4ae6d91ddc,TWI_008
40b649e6f6,TWI_009
11299cc72f,TWI_010
24a81d97b5,TWI_012
9b212e2eeb,TWI_013
f8e0c65364,TWI_014
cfdcbd005a,TWI_016
ad86d54e97,TWI_017
3f7f027abd,TWI_018
3f0b5622a7,JTL_001
53207e4131,JTL_002
3064aff14f,JTL_003
590b638b18,JTL_004
649c6a9dbd,JTL_005
fb0da8985e,JTL_006
ccf9474416,JTL_007
6414788e89,JTL_008
f6eb711cf3,JTL_009
fda7bdc316,JTL_010
11e54776e9,JTL_012
3eb545eb4b,JTL_013
7c082aefc9,JTL_014
81a416eb1f,JTL_015
36859e7ec4,JTL_016
a015eb5c5e,JTL_017
c1700fc85b,JTL_018
